t,true_x,true_dx,obs_x,obs_speed,est_x,est_dx,std_x,std_dx,mode
1557049830.4120827,0.5,0,True,0,0.5258705935183456,-0.03976471293728934,0.10629434114134745,0.14224348786458227,0
1557049830.4340234,0.5,0.0,True,0.0,0.5128146327891225,-0.03317193739096293,0.07049872493037236,0.1370190309413673,0
1557049830.4559646,0.5,0.0,True,0.0,0.5159049488479475,-0.0182809489642982,0.05461804449907791,0.12262512278701368,0
1557049830.4779067,0.5,0.0,False,0.0,0.5152692208033772,-0.022518625372888842,0.057066793482964936,0.13813176578613823,0
1557049830.4998474,0.5,0.0,True,0.0,0.49957533051801084,-0.016822319592527703,0.04677518335177493,0.14084966798531423,0
1557049830.5207918,0.5,0.0,True,0.0,0.4950961215666626,-0.0127947595209836,0.04311892511397837,0.128143882732024,0
1557049830.5427334,0.5,0.0,True,0.0,0.49512368923992645,-0.019962811154115915,0.04014363371492179,0.13509309867434535,0
1557049830.5646744,0.5,0.0,True,0.0,0.4901103060751029,-0.002264401366356944,0.04123074128510576,0.13065489709825298,0
1557049830.5866153,0.5,0.0,False,0.0,0.49305623858535946,0.007676569625716725,0.042388937584118117,0.1386410070452107,0
1557049830.608557,0.5,0.0,False,0.0,0.49580769155676213,0.002816934014383948,0.0420113750445816,0.13763501924721247,0
1557049830.630498,0.5,0.0,True,0.0,0.4911017272731881,-0.0013010065324431757,0.041841398306811786,0.13617505781521405,0
1557049830.65244,0.5,0.0,True,0.0,0.5089380599185064,-0.005953144853250445,0.039341637461208535,0.12036364295021457,0
1557049830.6743808,0.5,0.0,True,0.0,0.5008598403358525,0.003831286324904201,0.03805154876635428,0.1336931500613471,0
1557049830.6953251,0.5,0.0,True,0.0,0.5091741730481704,-0.0005961160625268104,0.03421213424561103,0.12268865454971858,0
1557049830.7182643,0.5,0.0,True,0.0,0.5067496316547421,-0.0008217223055484257,0.03471459396443781,0.13133811697271383,0
1557049830.7402058,0.5,0.0,True,0.0,0.49885789055229035,0.006623477617992935,0.035163914109630885,0.13153403785335382,0
1557049830.7621462,0.5,0.0,True,0.0,0.4930893681195699,0.003716536997491999,0.03278461036040739,0.12979436568128844,0
1557049830.784088,0.5,0.0,True,0.0,0.49855137307878367,0.0051888942428823534,0.03218561541677861,0.1277442667115326,0
1557049830.8060296,0.5,0.0,True,0.0,0.49903354331815974,0.006990978397510712,0.03065516510765622,0.12393723890612736,0
1557049830.8269727,0.5,0.0,True,0.0,0.5013605402663897,0.007114972271513889,0.030321910290323318,0.12858282858085157,0
1557049830.8489144,0.5,0.0,True,0.0,0.5070538893082459,-0.006632344023862457,0.03038337090826313,0.12762903674495263,0
1557049830.8708563,0.5,0.0,True,0.0,0.5069946544321867,-0.0020122333076338598,0.029952984872834917,0.12234683550841617,0
1557049830.8927977,0.5,0.0,True,0.0,0.5049186348553677,0.001295317940502543,0.02978460526464168,0.1250551537495466,0
1557049830.9147384,0.5,0.0,True,0.0,0.5044537559524799,0.0010247011612919852,0.02913102080930461,0.1370264466185807,0
1557049830.9366806,0.5,0.0,True,0.0,0.5085479037263212,0.001062095754166392,0.03203477358506074,0.13115965730909718,0
1557049830.9576237,0.5,0.0,True,0.0,0.5058236583403637,0.006023121208806213,0.03394430876725142,0.1379836956648394,0
1557049830.9795651,0.5,0.0,True,0.0,0.5001053842156963,0.009117214445043497,0.03165697878689512,0.14161721647778858,0
1557049831.0015066,0.5,0.0,True,0.0,0.4940673374674537,0.004042343431041955,0.03193799364345746,0.13808086787011134,0
1557049831.023448,0.5,0.0,True,0.0,0.4982205132410975,0.010085068235201397,0.03201263297397976,0.13459442490379883,0
1557049831.04539,0.5,0.0,True,0.0,0.49511416532752633,-0.00735722733309167,0.030921331488129793,0.13206964957055417,0
1557049831.067332,0.5,0.0,True,0.0,0.4949380680940349,-0.00401919004694452,0.0292795414902263,0.12909957404486738,0
1557049831.0892718,0.5,0.0,True,0.0,0.4902426528183073,-0.014354218367805975,0.02987974501427776,0.11865915211458221,0
1557049831.111213,0.5,0.0,True,0.0,0.493517745790393,-0.0016283141426763933,0.030158482834679583,0.12023079890270438,0
1557049831.1321578,0.5,0.0,True,0.0,0.5021973219238774,0.005623529297619547,0.03164219095255148,0.13440726769897984,0
1557049831.1540985,0.5,0.0,True,0.0,0.4985212148349122,0.005561312104127194,0.03186527196480749,0.12788599946355736,0
1557049831.17604,0.5,0.0,True,0.0,0.4945620354113757,0.0024699744753443505,0.03364318582608604,0.1351810862738587,0
1557049831.197981,0.5,0.0,True,0.0,0.49871313820336116,-0.004494822636824666,0.03315785708419197,0.13005167415899155,0
1557049831.21943,0.5,0.0,True,0.0,0.49793178849417363,0.003409432322432361,0.03444392766868852,0.12535068219661033,0
1557049831.2413714,0.5,0.0,True,0.0,0.49994112207998825,-0.009759023179567786,0.0305897008472783,0.11812285215581964,0
